"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","epidermis development","227/6545","402/18860",0.564676616915423,1.62716592742932,9.26616670834879,1.77676355838171e-19,1.12629041965817e-15,8.31899400808617e-16,"KRT6A/KRT5/GRHL3/CERS3/COL7A1/GJB5/FERMT1/PKP1/ABCA12/DSP/TP63/FOXE1/EZH2/KRT17/HOXC13/KRT6B/LDB2/PTHLH/KRT15/COL17A1/PITX2/KRT14/SPRR1B/KRT6C/KRT31/KRT16/PAX6/KRT74/IRF6/GAL/S100A7/LHX2/TMPRSS11F/PKP3/CDH3/ESRP1/ASAH1/SPRR2D/IVL/TMEM79/KRT75/KRT78/CALML5/OVOL1/SOX21/TGM5/HOXB13/CNFN/GRHL1/GRHL2/SPRR1A/FOXI3/CRABP2/TFAP2C/ETV4/KRT9/KRT77/ALOXE3/SPRR3/SVEP1/BNC1/NHERF1/CASP14/KRT34/GATA6/LATS2/FOXN1/SPRR2E/DSC1/KRT3/ELAPOR2/HDAC1/ZFP36/FST/VANGL2/HDAC2/SLC39A2/SMO/SPRR4/RBP2/LGR4/LCE3D/STMN1/SPRR2G/CSTA/KRTDAP/SFN/NSUN2/LCE1C/CDKN2A/ZNF750/LIPK/JAG1/KPRP/KRT32/LCE3E/CLDN1/DSG4/POU3F1/TXNIP/SPRR2B/SPRR2F/MACROH2A2/KRT84/MAFF/LCE1F/CYP27B1/LSR/ALOX15B/ST14/DKK4/LCE3A/EDA2R/TFDP1/POU3F2/KRT81/MYCL/KPLCE/KCNQ1/KRT10/SCRIB/KRT83/OVOL3/AKR1C3/PLA2G10/WNT10B/STS/STRC/SOX18/FAM3C/WNT16/SCEL/HLA-DRB1/WNT5A/LIPN/CD109/CCN2/MYCN/FZD6/NME2/LCE1B/JAG2/KRT80/LHFPL5/KRT76/NFKBIZ/TRIM16/WAS/BCL11B/DLX3/SOX9/SPRR5/TCHH/KRT82/NGFR/GRXCR2/WNT10A/LORICRIN/ALX4/TMC1/LAMC2/NTF4/KRT36/HES1/CYSRT1/LCE1E/LAMB3/PLOD1/ALOX12B/DNASE1L2/MSX2/SLC44A4/GSDME/FGF7/FLG2/FGF2/KRT2/KLF4/EMP1/GLI2/LGR5/FLG/EGFR/HRNR/SNAI1/ALOX12/EDAR/PLAAT4/DKK1/LIPM/IGFBP5/KRTAP5-9/KRT71/FOXQ1/SPINK5/ZBED2/KRT1/USH1C/KLK14/GDF3/FGF10/LRP4/FABP5/LCE5A/SLITRK6/USH2A/TGFB2/ACER1/IL20/HES5/LCE2C/LCE1A/KRT85/GLI1/TGM1/ATOH1/LCE2B/CST6/MANSC4/KLK7/KRT7/LCE2D/KRT27/KRT25/LCE3C/TGM3/IL17A",227
"GO:0006959","humoral immune response","179/6545","307/18860",0.583061889250814,1.68014472593894,8.75911841858851,1.57335914450662e-17,4.98676180851374e-14,3.68331656566603e-14,"EXO1/KRT6A/PGLYRP3/GAPDH/S100A7/FCN3/A2M/IL36RN/PGLYRP4/CFD/CD55/SPRR2A/PI3/H2BC8/HLA-E/CD81/GPI/GATA6/ALOX5/RNASE7/CD83/CCL23/FCN1/CXCL2/PLA2G1B/ZP3/SLC11A1/SPNS2/NTS/CCL26/VSIG4/H2BC7/PRSS3/CFP/CXCL14/SERPING1/SUSD4/PF4/C2/RNASE4/WFDC5/CFHR4/DEFB126/MEF2C/TREM1/ELANE/ANG/PGLYRP1/CCL14/CCL2/H2BC11/CD5L/C7/C5/PGC/C8B/CXCL3/AZU1/HRG/H2BC6/IL6/C1QA/CXCL13/C1QB/CFHR3/C3/HLA-DRB1/C1QBP/TNFRSF21/IFNE/CAMP/CD37/MASP1/CCL24/C4BPA/DEFA4/CCL16/VIP/POMC/CTSG/CXCL12/C6/DEFA3/PPBP/IGHG4/HLA-DQB1/REG1A/PRSS2/H2BC10/LYZ/PTPRC/DMBT1/ADM/C1QC/CD59/LGALS3/B2M/CCL4/S100A9/CFI/H2BC12/CXCL6/CCL25/ZP4/C4A/MASP2/CCL3/CR1/BST1/TREM2/C9/C4B/DEFB1/RARRES2/CCL15/AIRE/CCR2/H2BC21/CCL21/H2BC4/TF/MMP7/IGHG2/CCL13/CST9/CLU/XCL1/SPINK5/DEFB4A/SLPI/KRT1/CX3CL1/WFDC3/C8G/CCL18/GPR183/IGHG3/BPI/FGB/POU2AF1/CXCL5/LGALS4/NPY/F2/CCL17/FOXJ1/PRTN3/HTN1/IGHG1/GNLY/CXCL10/DEFA5/COLEC10/CCR6/IGHE/CCL7/IL1B/HTN3/MUC7/H2BC12L/IGKV3-20/KLK7/IFNB1/IFNA5/WFDC10A/PF4V1/IGHM/NPPB/WFDC13/C8A/C4BPB/SEMG1/GALP/FGA/SEMG2/IL17A/IFNA1/IFNK/MBL2",179
"GO:0043588","skin development","182/6545","329/18860",0.553191489361702,1.59407051021569,7.92471154310157,1.02557798844059e-14,2.16704628957496e-11,1.60062136581885e-11,"KRT6A/KRT5/GRHL3/CERS3/FERMT1/PKP1/ABCA12/DSP/TP63/FOXE1/EZH2/KRT17/HOXC13/KRT6B/LDB2/KRT14/SPRR1B/KRT6C/KRT16/PAX6/KRT74/IRF6/GAL/S100A7/LHX2/TMPRSS11F/PKP3/CDH3/ASAH1/SPRR2D/IVL/TMEM79/KRT75/KRT78/OVOL1/SOX21/ITGB4/CNFN/GRHL1/GRHL2/SPRR1A/FOXI3/TFAP2C/ETV4/KRT9/KRT77/ALOXE3/SPRR3/JUP/CASP14/GATA6/LATS2/FOXN1/SPRR2E/DSC1/KRT3/HDAC1/ZFP36/FST/VANGL2/HDAC2/SLC39A2/SMO/SPRR4/LGR4/LCE3D/STMN1/SPRR2G/CSTA/SFN/ABCB6/NSUN2/LCE1C/CDKN2A/ZNF750/LIPK/JAG1/KPRP/LCE3E/CLDN1/DSG4/POU3F1/TXNIP/SPRR2B/SPRR2F/MACROH2A2/KRT84/LCE1F/CYP27B1/LSR/ALOX15B/ST14/DKK4/LCE3A/KRT81/KRT10/KRT83/OVOL3/AKR1C3/PLA2G10/WNT10B/SOX18/WNT16/SCEL/ITGA6/WNT5A/LIPN/CD109/DHCR24/FZD6/NME2/ARRDC3/LCE1B/KRT80/KRT76/NFKBIZ/ASCL4/TRIM16/BCL11B/DLX3/SOX9/COL5A2/SPRR5/RIPK4/TCHH/KRT82/NGFR/ITGA2/WNT10A/LORICRIN/ALX4/KRT36/CYSRT1/TFAP2B/LCE1E/RYR1/ALOX12B/DNASE1L2/MSX2/FGF7/FLG2/KRT2/KLF4/COL3A1/COL1A1/GLI2/LGR5/FLG/EGFR/HRNR/SNAI1/ALOX12/EDAR/PLAAT4/DKK1/COL5A1/LIPM/IGFBP5/KRT71/FOXQ1/SPINK5/ZBED2/KRT1/FGF10/LRP4/LCE5A/TGFB2/ACER1/IL20/LCE2C/LCE1A/KRT85/TGM1/LCE2B/DACT2/KRT7/LCE2D/KRT27/KRT25/LCE3C/TGM3/IL17A",182
"GO:0030900","forebrain development","220/6545","419/18860",0.525059665871122,1.51300615711678,7.74166372163005,3.36984761921658e-14,5.34036601455348e-11,3.94449531849352e-11,"SLC2A1/KIF14/ASPM/STIL/PITX1/EZH2/HMGA2/DLX5/SEMA3G/OTX1/WDR62/DLC1/PITX2/PAX6/HAP1/SOX2/LHX5/FBXO45/IGF2BP1/DMRTA2/LHX2/DLX1/RAPGEF2/CDK5R1/FEZF1/TACC3/PHACTR1/CNTNAP2/PRDM13/RAC3/TFAP2C/FILIP1/EMX1/DLX2/RARA/EPHB3/TSKU/KAT2A/E2F1/HPRT1/NDE1/SLC7A11/MYH10/NDST1/RRM1/HDAC1/SRD5A1/SMO/ZEB2/MDK/GRIA1/POU4F1/EFNA2/SLIT2/CCDC141/LRRK2/DIXDC1/NDNF/AQP1/NR0B1/FXR1/FBXO41/GART/SHANK3/MFSD2A/NEFL/OTX2/SRGAP2C/POU3F1/NR4A3/FOXP1/ARHGAP11B/SALL1/RAN/AGTPBP1/NRGN/ALDH1A2/CDK5R2/NR2E1/EIF2B5/LRP8/AVPR2/ATP1A2/BTG2/FOS/NRP1/TYROBP/CHRNB2/NR4A2/ERBB4/SALL3/SSTR1/ZIC1/KDM6B/TUBB2B/GBX2/GATA2/BMP2/CRTAC1/POU3F2/RNF7/TNR/RTN4R/WNT7B/FAT4/LHX8/ATP1B2/PRKG1/NRG3/NSUN5/TACC1/LHX1/EPHB2/LYPD6/TP73/ADGRG1/SLC8A3/NTRK2/WNT5A/SCN5A/PCDH9/GSC/VAX2/LEF1/ID2/NOTCH3/ITGAM/BCAN/CDH1/ID4/NEUROG2/CXCL12/ISL1/ATF5/RAX/SOX1/BCL11B/NKX2-1/AKNA/BNIP3/AXL/FYN/ZIC3/HES1/NUMBL/FOXG1/B2M/SEMA6B/P2RY12/CDK6/FGF2/KCNC1/MGARP/COL3A1/POU3F3/LHX3/OTP/GLI2/LRP2/ROBO2/SIX3/SEMA5A/TUBA1A/NFIB/CNTN2/PGAP1/EGFR/CSF1R/HTR6/GHRH/FOXB1/LHX6/TBX3/DKK1/TOX/CDH2/FGF8/NEUROG1/BMERB1/DRAXIN/POU1F1/TBR1/EMX2/PIANP/DNAH5/DRD2/FGF10/SRD5A2/SEMA3E/ASCL1/NPY/TMEM108/DRD1/PLXNA4/SCT/CRH/ELAVL4/WNT4/OLIG2/WNT7A/PTCHD1/WNT3A/KIF26A/HES5/FEZF2/TAL2/GLI1/NOTCH2NLA/ATOH1/DAB1/RELN/KIRREL3/GSX2/LMX1A/KIAA0319/NKX2-6/KCNC2/KCNA1/SOX3/UNCX",220
"GO:0050878","regulation of body fluid levels","206/6545","389/18860",0.529562982005141,1.52598286334866,7.64184349486033,7.30081719746665e-14,9.25597604294822e-11,6.83663892512245e-11,"EMP2/TUBB1/EDNRB/NPR1/F8/HYAL2/PRKCE/WFS1/VWF/GNAQ/F12/ANGPT4/INPP5K/IL6ST/SLC6A4/CELSR2/GP9/CAV1/NME1/ANGPTL1/SVEP1/APLN/PEAR1/CAD/GPI/GNAI2/XDH/HBB/RAB27A/MMRN1/FLI1/SLC7A11/CEL/DGKA/DDR1/F2RL3/CYP4F11/GATA1/METAP1/ANGPT1/AQP1/SCUBE1/PLAU/F10/SELP/F11/SERPING1/TBXA2R/PF4/CPB2/HEG1/RAP2B/CSRP1/SERPINE2/ABCB1/CD36/HSPB1/PRKCD/ANO6/NEGR1/TRPV4/ENPP4/AVPR2/ANGPTL7/AQP4/CHRM1/SERPINB2/TLR4/ERBB4/ADA/CDO1/CORO2B/IL6R/SH2B3/MYL9/STXBP1/JMJD1C/GJA5/VTN/HRG/SLC22A4/IL6/PROC/FOXA2/EDN1/ZNF385A/TLN1/PRKG1/GAS6/PDGFB/FCER1G/ANXA5/SERPINA1/EPHB2/F2RL2/NKX2-3/TP73/PROS1/ADGRG1/PDIA2/CYP4F2/TSPAN32/ADRA2B/DGKI/EMILIN2/ENTPD2/STAT5A/FZD6/MUC2/VIP/SLC4A1/ADCY6/FERMT3/F2RL1/SCNN1B/CTSG/CFTR/CD40LG/PRRG1/TFPI/STATH/WAS/TREML1/ILK/NFE2/THBS1/ITGA2/ANXA8/NEURL1/MPIG6B/TEC/APLNR/AXL/PRSS56/PRKCQ/ADAMTS18/ADM/SOCS2/P2RX1/APOH/CD59/GP5/SCNN1G/UBASH3B/ALOX12B/FAP/P2RY12/WNK3/HK2/OPRK1/COL3A1/PROZ/HGFAC/CHRM3/CSN3/PRRG4/KLKB1/FOXB1/SERPINF2/DGKB/PIK3CG/ALOX12/GP1BA/F13A1/PRICKLE1/P2RY1/NEUROG1/KRT1/PLEK/DRD2/PLAT/PTPRO/SERPIND1/FGF10/KCNN4/FGB/NOS3/ATP6V1B1/SLC4A9/F2/SAA1/PRLR/GP6/HAS2/SCT/VAV3/FGG/SLC22A2/THBD/OXT/WNT3A/AQP6/CYP4A11/WNK4/ADTRP/CSN2/ANO1/GUCA2B/AQP2/F7/NPPB/AQP5/AVP/DGKK/C4BPB/FGA",206
"GO:0002443","leukocyte mediated immunity","246/6545","488/18860",0.504098360655738,1.4526042905985,7.38494570888657,3.93117860778276e-13,3.95750310811475e-10,2.92308662745982e-10,"EXO1/RAET1L/EMP2/AGER/GPR15LG/UNG/ATAD5/ACE/IL20RB/NECTIN4/SERPINB4/TNFSF13/FOXF1/RASGRP4/PRAM1/SPN/CD55/VAMP2/HLA-E/ARRB2/HSPD1/CX3CR1/CD81/RAB27A/HPRT1/FGR/PLA2G1B/PRKCZ/ZP3/GATA1/TUBB/MSH6/C17orf99/SPI1/JAG1/CTSH/SUSD4/USP5/MSH2/C2/SMAD7/NR4A3/PRKCD/STX7/CADM1/TREM1/ICAM1/ELANE/RFTN1/BTK/SLC18A2/TYROBP/ANXA3/SCIMP/DNASE1L3/RNF168/TLR4/NLRP3/TLR3/IL6R/C7/ULBP2/C5/GAB2/IL23A/STXBP1/C8B/GATA2/ARID5A/KMT5C/AZU1/LAT2/NSD2/RAB44/IL6/IL7R/MAD2L2/C1QA/IL1R1/CD74/NCKAP1L/KIR3DL1/FES/C1QB/TLR8/FCER1G/SH2D1B/C3/PTGDS/HLA-DRB1/BTN3A3/C1QBP/P2RX7/HCST/ULBP3/EXOSC3/FZD5/HLA-DRA/FCGR3A/UNC13D/STAT5A/CEBPG/C4BPA/CD160/TBX21/IL13/ITGAM/F2RL1/POMC/SCNN1B/CTSG/DAO/CD40LG/PCYT1A/NFKBIZ/C6/IL18R1/FCGR2A/PRF1/FCAR/IGHG4/WAS/TNFRSF1B/MYO1G/FOXP3/FCER1A/PTPRC/CD1C/SASH3/PRDX1/C1QC/BTN3A2/RIPK3/NCF1/CD177/B2M/ITGB2/FADD/IL18RAP/CFI/CRTAM/KLRD1/TFRC/SECTM1/CHGA/CXCL6/IL4I1/KLRB1/FCGR1A/LEP/C4A/MASP2/CCL3/CPLX2/PTGDR/CR1/TREM2/HAVCR2/C9/C4B/LILRB1/NKG7/IL2/NOS2/AIRE/CD226/CCR2/ADORA2B/PIK3CG/CLEC2A/IL12RB1/FCGR3B/NCR3/IGHG2/IGLL1/CLU/INPP5D/XCL1/GZMM/RAET1G/CD70/C8G/TNFSF4/IGHV7-81/CD1E/IGHV1-69D/IGHG3/CSF2RB/IGHV1-18/IGHV3-73/IGLC7/SLC22A13/IGHV6-1/IGHV7-4-1/F2/FOXJ1/IGHV5-51/IGHV1-24/IGHG1/KLRF2/RSAD2/IL21/IGHV3-21/IGKC/NCR1/IGHV3-53/IGLL5/IGHV3-49/DBH/CLEC12B/IGHV3-66/IGHV4-34/IGLC6/ULBP1/IGHV3-38/CCR6/IGLC3/IGLC2/IGHV4-59/IGHV3-72/IGHE/IGHV3-33/IGHV3-23/IL1B/IGHV3-48/IGHV1-69/IGHV1-58/IGHV1-69-2/IGHV2-5/IGHV1-3/IGHV3-30/IFNB1/IGHV2-26/AZGP1/IGHV3-15/C8A/IGHV3-64/IGHV4-39/CLC/IGHV1-45/C4BPB/IGHV3-13/IGHV3-64D/IGHV8-51-1/IGHV3-16/MBL2",246
"GO:0007389","pattern specification process","245/6545","486/18860",0.504115226337449,1.45265289056139,7.3701872907889,4.37017222855391e-13,3.95750310811475e-10,2.92308662745982e-10,"STIL/AURKA/XRCC2/GRHL3/TP63/HOXC13/ACVRL1/SIM2/HOXA10/OTX1/BARX1/HOXD11/HOXD13/PITX2/SOX17/IRX4/TGFBR2/PAX6/ENG/HOXC11/DMRTA2/HOXA11/LHX2/DLX1/BMP7/HOXD10/FOXF1/SMAD6/EPB41L5/EN1/HOXC10/DLL3/FEZF1/HOXB9/CELSR2/FOXD1/CITED2/HOXD12/IFT57/HOXC8/EMX1/DLX2/DLL4/BMPR2/DISP1/SP8/KAT2A/NKX3-2/TDRD5/SIX2/NKX2-5/PALB2/DAAM2/FST/VANGL2/ZEB1/MFNG/SMO/ZEB2/GREM1/HOXC9/HOXB7/ZBTB16/PRKDC/GDNF/HOXA5/CHRDL1/TBX5/TLL2/HES2/OTX2/HOXC6/TBX2/SHROOM3/RARG/MEF2C/LEFTY2/FOLR1/DMRT3/ALDH1A2/ARC/SIX1/TBX18/MDFI/PAX7/FOXH1/BTG2/CC2D2A/NLE1/NRP1/ERBB4/HHIP/TIGD5/ZIC1/HEYL/MSGN1/ODAD4/DMRT2/COBL/GBX2/BMP2/HNF1B/CDX2/NRARP/LMX1B/WNT7B/IFT140/FOXA2/EDN1/C1QA/NRG3/CFAP52/SPRY1/CDX1/MEOX2/CFAP45/SOX18/WNT6/C3/ALX1/MESP2/LHX1/ADGRG1/CIMAP3/FZD5/WNT5A/GSC/HES6/DNAAF4/VAX2/TBX1/LEF1/ALX3/ENKUR/TBC1D32/ITGAM/DNAAF1/ISL1/TBX6/WNT3/HOXC4/RAX/PIERCE1/HOXD3/HOXB8/SOX1/NKX2-1/DCHS1/IHH/DNAI2/APLNR/HOXD9/SEMA3F/RIPPLY2/GREM2/ALX4/HOXD4/NTF4/OSR1/FUT6/ZIC3/HES1/HOXA9/CCDC40/DAW1/BASP1/FOXG1/PCDH8/DNAI1/ODAD3/RIPPLY3/MSX2/DDIT3/HOXD8/EGR2/DNAAF11/ODAD2/RNF207/BMP5/MICAL2/FGF2/GATA5/HOXB1/MESP1/DRC1/LHX3/HES7/GLI2/LRP2/ROBO2/SIX3/TBX20/PGAP1/DSCAML1/DNAAF3/PAX2/AXIN2/CFAP53/SATB2/SNAI1/FOXB1/NKX2-2/TBX3/OSR2/PLXNA2/DKK1/NKD1/TLL1/WNT2/HELT/AR/PRICKLE1/FGF8/NEUROG1/GATA4/TBR1/DBX1/EMX2/DNAH5/TBXT/GDF3/CIROZ/IRX2/FGF10/LRP4/TCF15/ASCL1/FOXJ1/CRIPTO/HEY1/WNT7A/HAND2/MYF6/WNT3A/SFRP2/HES5/SFRP1/FEZF2/HOXC5/GLI1/WNT11/RELN/GSX2/FOXN4/UNCX",245
"GO:0019730","antimicrobial humoral response","111/6545","184/18860",0.603260869565217,1.73834988540871,7.33712872084501,9.72094206244365e-13,7.70263146672878e-10,5.68930924917754e-10,"KRT6A/PGLYRP3/GAPDH/S100A7/IL36RN/PGLYRP4/SPRR2A/PI3/H2BC8/HLA-E/GATA6/RNASE7/CCL23/CXCL2/PLA2G1B/SLC11A1/NTS/CCL26/H2BC7/PRSS3/CXCL14/PF4/RNASE4/WFDC5/DEFB126/ELANE/ANG/PGLYRP1/CCL14/CCL2/H2BC11/PGC/CXCL3/AZU1/HRG/H2BC6/CXCL13/CAMP/CCL24/DEFA4/CCL16/VIP/POMC/CTSG/CXCL12/DEFA3/PPBP/IGHG4/REG1A/PRSS2/H2BC10/LYZ/DMBT1/ADM/LGALS3/B2M/CCL4/S100A9/H2BC12/CXCL6/CCL25/CCL3/DEFB1/RARRES2/CCL15/H2BC21/CCL21/H2BC4/TF/MMP7/IGHG2/CCL13/CST9/XCL1/SPINK5/DEFB4A/SLPI/CX3CL1/WFDC3/CCL18/IGHG3/BPI/FGB/CXCL5/LGALS4/NPY/F2/CCL17/PRTN3/HTN1/IGHG1/GNLY/CXCL10/DEFA5/IGHE/CCL7/HTN3/MUC7/H2BC12L/IGKV3-20/KLK7/WFDC10A/PF4V1/IGHM/NPPB/WFDC13/SEMG1/GALP/FGA/SEMG2/IL17A",111
"GO:0031424","keratinization","60/6545","82/18860",0.731707317073171,2.10847975553858,7.33342698542205,1.2493133504556e-12,8.75151584790214e-10,6.46403508630262e-10,"KRT6A/KRT5/CERS3/ABCA12/KRT17/KRT6B/SPRR1B/KRT6C/KRT16/KRT74/CDH3/SPRR2D/IVL/TMEM79/KRT75/KRT78/CNFN/SPRR1A/KRT77/SPRR3/CASP14/SPRR2E/KRT3/SPRR4/LCE3D/SPRR2G/SFN/LCE1C/LIPK/LCE3E/SPRR2B/SPRR2F/KRT84/LCE1F/LCE3A/KRT81/KRT83/LIPN/LCE1B/KRT80/KRT76/TCHH/KRT82/LORICRIN/LCE1E/KRT2/HRNR/LIPM/KRT71/KRT1/LCE5A/LCE2C/LCE1A/KRT85/TGM1/LCE2B/KRT7/LCE2D/LCE3C/TGM3",60
"GO:0008037","cell recognition","105/6545","172/18860",0.61046511627907,1.75910956348713,7.29095169973086,1.38058303327057e-12,8.75151584790214e-10,6.46403508630262e-10,"IGSF9/ROBO4/PECAM1/PCDH12/FCN3/CCT3/LY6K/CDK5R1/CCT5/CNTNAP2/EPHB3/FETUB/PEAR1/CD81/CNTN6/FCN1/ZP3/NEDD9/COLEC12/YWHAZ/MEGF10/CLEC4M/CFP/NEXN/CCT7/CCT4/TULP1/C2/CD36/CADM1/FOLR1/TCP1/IGLON5/PLXND1/DOCK8/NRP1/DLG1/SFTPA1/GAP43/CRTAC1/ZAN/NRCAM/NTM/CCT2/DCST1/PLA2G5/C3/EPHB2/SPA17/ADAM32/TNFRSF21/AMIGO1/MASP1/DOCK2/C4BPA/ALDOA/PTX3/PRF1/MSN/EPHB1/ST6GALNAC6/LGALS3/FOXG1/DCST2/CRTAM/TEX101/ACR/ZP4/FCGR1A/C4A/MASP2/CLGN/FOLR2/TREM2/FOLR3/HAVCR2/C4B/ROBO2/PAEP/CNTN4/SEMA5A/CNTN2/DSCAML1/CD226/CCL21/ATP8B3/ADGRB1/FUT3/NCR3/CNTNAP3/CNR1/ASTL/ZP1/NCAM2/PCDHB6/ADAM18/SPESP1/COLEC10/ZP2/FEZF2/LBP/ADAM2/C4BPB/PRSS55/MBL2",105
