"ENSEMBL","ENTREZID"
"ENSG00000000003","7105"
"ENSG00000000005","64102"
"ENSG00000000460","55732"
"ENSG00000000938","2268"
"ENSG00000001084","2729"
"ENSG00000001561","22875"
"ENSG00000001617","6405"
"ENSG00000001626","1080"
"ENSG00000002587","9957"
"ENSG00000002726","26"
"ENSG00000002745","51384"
"ENSG00000002746","23072"
"ENSG00000003096","90293"
"ENSG00000003249","79007"
"ENSG00000003402","8837"
"ENSG00000003436","7035"
"ENSG00000003989","6542"
"ENSG00000004399","23129"
"ENSG00000004478","2288"
"ENSG00000004776","126393"
"ENSG00000004777","115703"
"ENSG00000004799","5166"
"ENSG00000004838","51364"
"ENSG00000004864","10165"
"ENSG00000004866","7982"
"ENSG00000004866","93655"
"ENSG00000004939","6521"
"ENSG00000005001","64063"
"ENSG00000005073","3207"
"ENSG00000005156","3980"
"ENSG00000005187","6296"
"ENSG00000005189","81691"
"ENSG00000005381","4353"
"ENSG00000005844","3683"
"ENSG00000005981","51666"
"ENSG00000006047","51087"
"ENSG00000006059","3883"
"ENSG00000006118","54972"
"ENSG00000006210","6376"
"ENSG00000006377","1750"
"ENSG00000006453","55971"
"ENSG00000006468","2115"
"ENSG00000006534","221"
"ENSG00000006555","55001"
"ENSG00000006606","10344"
"ENSG00000006611","10083"
"ENSG00000006625","79017"
"ENSG00000006634","10926"
"ENSG00000006638","6915"
"ENSG00000006704","9569"
"ENSG00000006740","9912"
"ENSG00000007038","10942"
"ENSG00000007129","90273"
"ENSG00000007171","4843"
"ENSG00000007174","1770"
"ENSG00000007216","9058"
"ENSG00000007237","8522"
"ENSG00000007264","4145"
"ENSG00000007306","1087"
"ENSG00000007350","8277"
"ENSG00000007372","5080"
"ENSG00000007376","113000"
"ENSG00000007402","9254"
"ENSG00000007516","8938"
"ENSG00000007908","6401"
"ENSG00000007968","1870"
"ENSG00000008083","3720"
"ENSG00000008086","6792"
"ENSG00000008196","7021"
"ENSG00000008197","83741"
"ENSG00000008300","1951"
"ENSG00000008323","55200"
"ENSG00000008438","8993"
"ENSG00000008441","4784"
"ENSG00000008516","64386"
"ENSG00000008735","23542"
"ENSG00000008853","23221"
"ENSG00000009709","5081"
"ENSG00000009724","10747"
"ENSG00000009765","389434"
"ENSG00000010282","57467"
"ENSG00000010292","9918"
"ENSG00000010295","25900"
"ENSG00000010319","56920"
"ENSG00000010379","6540"
"ENSG00000010438","5646"
"ENSG00000010610","920"
"ENSG00000010671","695"
"ENSG00000010810","2534"
"ENSG00000010932","2326"
"ENSG00000011201","3730"
"ENSG00000011332","8193"
"ENSG00000011347","9066"
"ENSG00000011426","54443"
"ENSG00000011465","1634"
"ENSG00000011600","7305"
"ENSG00000011677","2556"
"ENSG00000012048","672"
"ENSG00000012124","933"
"ENSG00000012171","7869"
"ENSG00000012211","4007"
"ENSG00000012504","9971"
"ENSG00000012779","240"
"ENSG00000012822","57658"
"ENSG00000013275","5704"
"ENSG00000013293","57709"
"ENSG00000013306","51629"
"ENSG00000013573","1663"
"ENSG00000013588","9052"
"ENSG00000013810","10460"
"ENSG00000014138","23649"
"ENSG00000015285","7454"
"ENSG00000015475","637"
"ENSG00000015520","29881"
"ENSG00000015532","64132"
"ENSG00000015592","81551"
"ENSG00000016082","3670"
"ENSG00000016391","55349"
"ENSG00000016602","22802"
"ENSG00000018236","1272"
"ENSG00000018280","6556"
"ENSG00000018625","477"
"ENSG00000018869","147948"
"ENSG00000019102","23584"
"ENSG00000019169","8685"
"ENSG00000019186","1591"
"ENSG00000019505","57586"
"ENSG00000019549","6591"
"ENSG00000019582","972"
"ENSG00000019991","3082"
"ENSG00000020181","25960"
"ENSG00000020256","55734"
"ENSG00000020577","23034"
"ENSG00000021300","58473"
"ENSG00000021488","11136"
"ENSG00000021574","6683"
"ENSG00000021826","1373"
"ENSG00000021852","732"
"ENSG00000022267","2273"
"ENSG00000022355","2554"
"ENSG00000022556","55655"
"ENSG00000023445","330"
"ENSG00000023608","6617"
"ENSG00000023734","11171"
"ENSG00000023839","1244"
"ENSG00000023909","2730"
"ENSG00000024422","30846"
"ENSG00000024526","55635"
"ENSG00000025423","8630"
"ENSG00000026025","7431"
"ENSG00000026559","3755"
"ENSG00000027644","3645"
"ENSG00000028137","7133"
"ENSG00000029153","56938"
"ENSG00000029559","3381"
"ENSG00000029993","3149"
"ENSG00000030110","578"
"ENSG00000030304","4593"
"ENSG00000031003","51306"
"ENSG00000031081","57514"
"ENSG00000031691","55166"
"ENSG00000032219","5926"
"ENSG00000032444","10908"
"ENSG00000033122","57554"
"ENSG00000033178","55236"
"ENSG00000033327","9846"
"ENSG00000034053","321"
"ENSG00000034239","79645"
"ENSG00000034971","4653"
"ENSG00000035141","84908"
"ENSG00000035499","55789"
"ENSG00000035664","23604"
"ENSG00000035862","7077"
"ENSG00000036448","9172"
"ENSG00000036473","5009"
"ENSG00000036672","9099"
"ENSG00000037280","2324"
"ENSG00000037474","54888"
"ENSG00000037897","4234"
"ENSG00000037965","3224"
"ENSG00000038295","7092"
"ENSG00000038945","4481"
"ENSG00000039068","999"
"ENSG00000039139","1767"
"ENSG00000039523","79567"
"ENSG00000039537","729"
"ENSG00000039600","11063"
"ENSG00000039987","54831"
"ENSG00000040275","54908"
"ENSG00000040608","65078"
"ENSG00000040731","1008"
"ENSG00000041802","55341"
"ENSG00000041982","3371"
"ENSG00000042088","55775"
"ENSG00000042781","7399"
"ENSG00000042832","7038"
"ENSG00000042980","10863"
"ENSG00000043039","8538"
"ENSG00000043093","54165"
"ENSG00000043355","7546"
"ENSG00000043462","3937"
"ENSG00000043514","54802"
"ENSG00000043591","153"
"ENSG00000044012","2981"
"ENSG00000046604","1829"
"ENSG00000046653","2824"
"ENSG00000046774","51438"
"ENSG00000046889","80243"
"ENSG00000047457","1356"
"ENSG00000047617","57101"
"ENSG00000047644","55841"
"ENSG00000047648","395"
"ENSG00000047936","6098"
"ENSG00000048028","57646"
"ENSG00000048162","51491"
"ENSG00000048342","57545"
"ENSG00000048540","55885"
"ENSG00000048740","10659"
"ENSG00000048991","23518"
"ENSG00000049089","1298"
"ENSG00000049283","55040"
"ENSG00000049540","2006"
"ENSG00000049541","5982"
"ENSG00000049759","23327"
"ENSG00000049768","50943"
"ENSG00000050327","7984"
"ENSG00000050344","9603"
"ENSG00000050438","9498"
