"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","epidermis development","226/6369","402/18860",0.562189054726368,1.66476457405233,9.62021822437351,1.00920916883841e-20,6.39535850292903e-17,4.64236217665671e-17,"WNT16/USH1C/PAX6/WAS/NSUN2/USH2A/ALX4/KCNQ1/LAMC2/CDH3/DLX3/NGFR/COL17A1/GAL/PLA2G10/FGF10/TP63/GLI2/PKP1/GRHL2/PLOD1/PTHLH/TFAP2C/TGM1/TGFB2/KRT31/DSP/MACROH2A2/FERMT1/JAG1/STS/TGM5/DKK4/ESRP1/ASAH1/CASP14/OVOL3/CNFN/LSR/GSDME/EZH2/LHX2/DKK1/KRT32/ALOX12/NHERF1/FOXN1/CYP27B1/GLI1/IL17A/RBP2/WNT5A/COL7A1/HES1/IGFBP5/HDAC1/MYCL/IRF6/STMN1/CCN2/MSX2/CSTA/HOXC13/SNAI1/SOX21/SOX9/TGM3/KRT36/BCL11B/ZFP36/KRT17/SMO/KLK14/EDA2R/KRT34/PLAAT4/SPINK5/GRHL1/MYCN/FST/EMP1/LRP4/DSC1/KRT85/KRT7/WNT10A/EDAR/SCEL/KLF4/FGF2/LGR5/KRT71/FGF7/GATA6/ZNF750/CRABP2/FLG2/S100A7/FLG/ABCA12/NFKBIZ/EGFR/CDKN2A/ST14/LATS2/CERS3/CD109/GRHL3/HOXB13/TCHH/LCE2B/SPRR2G/KRT84/KRT82/VANGL2/IL20/LCE3D/IVL/SPRR3/SPRR2D/CLDN1/TMEM79/PITX2/FOXQ1/ELAPOR2/FABP5/FZD6/TMC1/SVEP1/SLC39A2/KRT80/KRT1/ACER1/DNASE1L2/KLK7/SPRR1B/SPRR1A/BNC1/LDB2/WNT10B/KRT78/KRT75/KRT6C/KRT74/KRT83/KRT15/KRT9/KRT27/ATOH1/OVOL1/KRT2/LIPM/DSG4/CST6/SFN/ETV4/ZBED2/CALML5/FOXE1/ALOXE3/ALOX12B/ALOX15B/SCRIB/SPRR4/GDF3/PKP3/POU3F2/SLITRK6/JAG2/MAFF/KRT76/KRT6B/POU3F1/LCE3A/LCE3E/KRT5/LCE5A/LCE1E/KRT10/KRT3/KRT16/LCE1A/KRT14/LCE2C/LCE2D/KRTDAP/KRT77/GJB5/HLA-DRB1/AKR1C3/HDAC2/LCE1B/SPRR2B/LAMB3/FAM3C/LCE1C/CYSRT1/LHFPL5/HRNR/HES5/TMPRSS11F/TFDP1/KPLCE/LORICRIN/SPRR2E/KPRP/SOX18/LIPN/LIPK/SLC44A4/GRXCR2/LGR4/KRT6A/KRT81/MANSC4/FOXI3/TRIM16/NTF4/LCE1F/STRC/NME2/LCE3C/SPRR2F/KRTAP5-9/TXNIP/SPRR5",226
"GO:0006959","humoral immune response","175/6369","307/18860",0.570032573289902,1.68799094555622,8.67843047591351,3.79408072581538e-17,1.2021544779746e-13,8.72638566937538e-14,"CX3CL1/CCL26/PGLYRP1/MASP2/PRSS3/ALOX5/SLC11A1/C8B/C6/CD5L/CXCL2/MEF2C/PTPRC/CD59/FCN1/LYZ/TF/TREM2/PGC/CTSG/BPI/CCL17/CD37/GPI/CCL24/RARRES2/C5/CXCL12/C1QBP/CCL7/CCL2/PF4V1/BST1/CD81/POU2AF1/GAPDH/IL17A/CD83/CCR6/C7/C9/HRG/POMC/REG1A/GNLY/CFHR3/ZP4/CLU/NPPB/CCR2/NPY/C4BPA/C4BPB/PI3/SLPI/WFDC3/SEMG2/SEMG1/H2BC11/TREM1/CXCL6/IL1B/C3/DEFB126/HTN1/CFP/MASP1/FOXJ1/CCL25/LGALS3/NTS/SPINK5/CFHR4/IL6/IL36RN/CCL21/MMP7/GATA6/FCN3/XCL1/SUSD4/S100A7/CXCL14/TNFRSF21/VIP/IFNK/ADM/SERPING1/VSIG4/CXCL13/C8A/C1QC/PGLYRP3/AIRE/PGLYRP4/S100A9/CXCL3/CXCL5/PPBP/PF4/CAMP/DEFA5/DEFA4/DEFB1/MBL2/RNASE7/C2/B2M/KRT1/WFDC13/KLK7/CXCL10/GPR183/PLA2G1B/MUC7/FGA/FGB/DEFB4A/LGALS4/AZU1/CST9/C1QB/C1QA/EXO1/WFDC5/A2M/C8G/HLA-DQB1/F2/H2BC4/CCL13/SPNS2/COLEC10/H2BC21/IFNE/DMBT1/ZP3/HLA-DRB1/CD55/PRTN3/GALP/ELANE/CFD/H2BC12/CR1/HLA-E/CFI/KRT6A/HTN3/IGHE/IGHG4/IGHG2/IGHG1/IGHG3/IGHM/ANG/C4B/H2BC12L/DEFA3/IGKV3-20/SPRR2A/C4A/RNASE4/H2BC8/H2BC6/CCL23/CCL16/CCL4/CCL18/CCL15/PRSS2/CCL14/H2BC7/CCL3/H2BC10",175
"GO:0043588","skin development","181/6369","329/18860",0.550151975683891,1.62912015408984,8.22012590717486,1.31132416419968e-15,2.76995374284447e-12,2.01069705177285e-12,"WNT16/PAX6/TFAP2B/NSUN2/ALX4/CDH3/DLX3/NGFR/GAL/PLA2G10/FGF10/TP63/GLI2/PKP1/GRHL2/TFAP2C/ITGA6/TGM1/TGFB2/DSP/MACROH2A2/FERMT1/JAG1/DKK4/ASAH1/CASP14/OVOL3/CNFN/LSR/EZH2/LHX2/DKK1/COL1A1/ALOX12/FOXN1/CYP27B1/IL17A/ARRDC3/WNT5A/IGFBP5/ABCB6/DHCR24/HDAC1/IRF6/STMN1/MSX2/CSTA/HOXC13/SNAI1/SOX21/SOX9/TGM3/KRT36/BCL11B/ZFP36/KRT17/SMO/COL5A1/ITGB4/PLAAT4/SPINK5/GRHL1/FST/LRP4/DSC1/KRT85/KRT7/WNT10A/EDAR/SCEL/KLF4/LGR5/KRT71/FGF7/GATA6/ZNF750/FLG2/S100A7/FLG/ABCA12/NFKBIZ/EGFR/CDKN2A/ST14/LATS2/CERS3/CD109/GRHL3/TCHH/LCE2B/SPRR2G/KRT84/KRT82/VANGL2/IL20/LCE3D/IVL/SPRR3/SPRR2D/CLDN1/TMEM79/ITGA2/FOXQ1/DACT2/FZD6/SLC39A2/KRT80/KRT1/ACER1/DNASE1L2/COL3A1/SPRR1B/SPRR1A/LDB2/WNT10B/KRT78/KRT75/KRT6C/KRT74/KRT83/KRT9/KRT27/OVOL1/KRT2/LIPM/JUP/DSG4/SFN/ETV4/ZBED2/FOXE1/ALOXE3/ALOX12B/ALOX15B/RIPK4/SPRR4/PKP3/KRT76/KRT6B/POU3F1/LCE3A/LCE3E/KRT5/LCE5A/LCE1E/KRT10/KRT3/KRT16/LCE1A/KRT14/LCE2C/LCE2D/ASCL4/KRT77/AKR1C3/RYR1/HDAC2/LCE1B/SPRR2B/LCE1C/CYSRT1/HRNR/TMPRSS11F/LORICRIN/SPRR2E/KPRP/SOX18/LIPN/LIPK/COL5A2/LGR4/KRT6A/KRT81/FOXI3/TRIM16/LCE1F/NME2/LCE3C/SPRR2F/TXNIP/SPRR5",181
"GO:0030900","forebrain development","219/6369","419/18860",0.522673031026253,1.54774899751219,8.09641422937624,2.78277785039006e-15,4.40861580948045e-12,3.20019452794857e-12,"PAX6/SEMA3G/FYN/TYROBP/TACC3/ISL1/ATP1A2/CDH1/DNAH5/RTN4R/POU1F1/ASPM/KIF26A/PITX1/SCT/FGF10/NDST1/NDE1/GLI2/NOTCH3/WDR62/TP73/LRP2/TFAP2C/LHX5/CRTAC1/NRP1/EFNA2/SLC8A3/E2F1/SALL1/NUMBL/CDK6/DLX5/EZH2/LHX2/LHX6/AKNA/LHX3/CXCL12/FGF8/DKK1/KAT2A/RAPGEF2/MDK/GLI1/KCNA1/PHACTR1/PRDM13/NR2E1/SEMA5A/RNF7/WNT5A/HES1/FXR1/FOXP1/OTX1/ID2/DLX2/VAX2/TNR/HDAC1/SLC2A1/KIF14/FILIP1/GHRH/NR4A3/NPY/STIL/BMP2/AVPR2/BCL11B/SMO/FEZF1/ALDH1A2/KCNC1/ATP1B2/NSUN5/RARA/RAN/KDM6B/BCAN/MYH10/EPHB2/GSC/RAX/SOX3/AGTPBP1/TBX3/EMX1/NKX2-1/TBR1/KIAA0319/TUBB2B/MGARP/SIX3/FGF2/LEF1/PIANP/ASCL1/SSTR1/DMRTA2/DLX1/TMEM108/SLIT2/EIF2B5/SRD5A1/EGFR/TACC1/CRH/NFIB/NTRK2/DRD2/KIRREL3/HMGA2/DIXDC1/SLC7A11/POU4F1/ZIC1/NR4A2/FEZF2/NRGN/WNT3A/WNT7A/GRIA1/ZIC3/LRP8/HTR6/GART/IGF2BP1/BTG2/CHRNB2/ELAVL4/DRAXIN/WNT4/LHX8/LMX1A/FBXO41/CCDC141/PITX2/DLC1/PTCHD1/OTX2/HPRT1/KCNC2/B2M/BMERB1/RRM1/TUBA1A/AXL/SEMA6B/MFSD2A/GBX2/COL3A1/ATF5/NR0B1/P2RY12/ZEB2/RAC3/ITGAM/FOS/EMX2/SEMA3E/CDH2/CDK5R2/OTP/SRGAP2C/FOXB1/ID4/ATOH1/NDNF/DAB1/HAP1/FBXO45/CNTNAP2/FOXG1/BNIP3/CDK5R1/NEUROG2/ERBB4/GATA2/NKX2-6/GSX2/SOX2/NEUROG1/CSF1R/EPHB3/TSKU/SOX1/SCN5A/CNTN2/PCDH9/POU3F2/DRD1/ROBO2/PRKG1/POU3F1/NRG3/TAL2/LYPD6/WNT7B/LRRK2/RELN/FAT4/PGAP1/HES5/TOX/POU3F3/ADGRG1/OLIG2/PLXNA4/AQP1/SHANK3/SALL3/NOTCH2NLA/LHX1/NEFL/SRD5A2/ARHGAP11B",219
"GO:0050878","regulation of body fluid levels","205/6369","389/18860",0.526992287917738,1.56053926050063,7.97686024516312,7.23400680978802e-15,9.16838023072534e-12,6.65528626500498e-12,"ENPP4/CFTR/TFPI/SLC4A1/TBXA2R/WAS/GUCA2B/ENTPD2/F7/TSPAN32/DGKA/PRKCQ/HYAL2/RAB27A/SCT/FGF10/FAP/EDN1/TP73/CPB2/OPRK1/CAD/CD59/ABCB1/AQP6/GP6/F11/APOH/SERPIND1/PDGFB/CTSG/TUBB1/ANGPT4/MYL9/OXT/GATA1/CD40LG/CORO2B/PLAT/KCNN4/GPI/PIK3CG/CAV1/HSPB1/NEURL1/P2RX1/SLC6A4/ALOX12/VTN/WFS1/HGFAC/VWF/TRPV4/SH2B3/ADTRP/SLC22A2/SLC4A9/PRLR/HRG/GNAI2/PROC/PLEK/ATP6V1B1/ANGPTL1/NKX2-3/SOCS2/NPPB/PLAU/NFE2/C4BPB/F13A1/FOXA2/F10/PROZ/STATH/STAT5A/WNK4/AVPR2/F2RL3/CDO1/PRRG1/F12/ANO1/EMILIN2/INPP5K/CHRM3/EPHB2/VAV3/IL6ST/APLNR/CD36/CSN2/PRRG4/TEC/SERPINE2/EDNRB/IL6/DGKB/STXBP1/TLR4/TLN1/THBS1/MMRN1/PRICKLE1/ADAMTS18/CELSR2/VIP/ADM/SERPING1/DRD2/FERMT3/SLC7A11/PTPRO/FLI1/UBASH3B/ANGPT1/WNT3A/GNAQ/DGKI/XDH/FCER1G/CSRP1/SCUBE1/HK2/IL6R/ZNF385A/AQP5/TREML1/PF4/PRKCD/METAP1/ANXA5/ITGA2/F2RL2/F2RL1/KLKB1/NOS3/FZD6/SVEP1/ILK/SCNN1G/AQP2/AXL/SERPINF2/KRT1/SCNN1B/CHRM1/COL3A1/P2RY12/NPR1/GP9/P2RY1/CEL/HAS2/PRKCE/CSN3/APLN/FGG/FGA/FGB/ANGPTL7/AQP4/CYP4F11/FOXB1/JMJD1C/NEGR1/SAA1/HEG1/SELP/ADCY6/ANO6/ERBB4/THBD/GP5/ALOX12B/F2/RAP2B/NEUROG1/GAS6/PROS1/F8/GP1BA/PRKG1/PDIA2/CYP4F2/CYP4A11/PEAR1/WNK3/ADA/SLC22A4/SERPINA1/SERPINB2/MUC2/MPIG6B/DDR1/ADGRG1/EMP2/PRSS56/NME1/AQP1/HBB/GJA5/ANXA8/ADRA2B/DGKK",205
"GO:0002443","leukocyte mediated immunity","245/6369","488/18860",0.502049180327869,1.4866772713116,7.77802093148272,2.65118769416862e-14,2.70537173672159e-11,1.96381726194087e-11,"FGR/NOS2/MASP2/BTK/TYROBP/WAS/CD74/C8B/TNFRSF1B/GAB2/C6/FOXP3/SPI1/PRKCZ/RAB27A/TFRC/TBX21/UNG/STX7/PTPRC/LAT2/P2RX7/ICAM1/UNC13D/MSH2/TREM2/IL12RB1/CSF2RB/CTSG/CHGA/JAG1/SMAD7/TLR8/GATA1/CD40LG/FOXF1/CTSH/IL4I1/LILRB1/CLC/NKG7/PIK3CG/C5/PTGDS/EXOSC3/C1QBP/IL2/NSD2/CRTAM/CD81/DAO/IL23A/USP5/KLRB1/BTN3A3/ULBP1/CCR6/C7/C9/POMC/IL1R1/IL18R1/IL18RAP/MSH6/MAD2L2/CD160/PRDX1/TNFSF4/NR4A3/CLU/CCR2/SASH3/NCKAP1L/DBH/C4BPA/C4BPB/TREM1/CXCL6/IL1B/CD70/C3/HCST/STAT5A/IGLL1/RIPK3/FOXJ1/ULBP2/ULBP3/RFTN1/PRAM1/KMT5C/RSAD2/KLRD1/HAVCR2/IL6/MYO1G/STXBP1/TLR4/IL21/ANXA3/ARRB2/SECTM1/XCL1/NECTIN4/FCGR2A/SUSD4/HSPD1/NFKBIZ/CPLX2/FCGR1A/CD226/CEBPG/RAET1L/C8A/CD1C/CD1E/NCF1/FCER1G/C1QC/ACE/AIRE/ITGB2/IL6R/AZGP1/PCYT1A/SCIMP/TNFSF13/NLRP3/FCGR3B/FZD5/DNASE1L3/PRKCD/RNF168/F2RL1/TLR3/MBL2/SLC18A2/HPRT1/C2/B2M/KIR3DL1/FADD/PTGDR/CX3CR1/SCNN1B/IL7R/INPP5D/IL13/ITGAM/ADORA2B/PLA2G1B/RASGRP4/AZU1/SLC22A13/C1QB/C1QA/EXO1/IL20RB/LEP/ATAD5/C8G/GATA2/FCER1A/F2/PRF1/FES/CADM1/FCAR/BTN3A2/C17orf99/ZP3/GPR15LG/CLEC2A/NCR1/HLA-DRB1/TUBB/CD55/ARID5A/SPN/GZMM/ELANE/SH2D1B/CR1/RAET1G/FCGR3A/HLA-DRA/AGER/NCR3/HLA-E/CD177/CFI/SERPINB4/IGKC/IGLC2/IGLC3/IGLC7/IGHE/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV1-3/IGHV2-5/IGHV3-13/IGHV3-15/IGHV3-16/IGHV1-18/IGHV3-21/IGHV3-23/IGHV1-24/IGHV2-26/IGHV3-33/IGHV4-34/IGHV3-38/IGHV4-39/IGHV1-45/IGHV3-48/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV1-69/IGHV3-73/IGHV7-81/EMP2/VAMP2/IGLC6/IGHV3-64/IGHV4-59/C4B/IGHV3-72/C4A/IGHV8-51-1/IGLL5/RAB44/CLEC12B/KLRF2/IGHV3-30/CCL3/IGHV1-69D/IGHV1-69-2/IGHV7-4-1/IGHV3-64D",245
"GO:0007389","pattern specification process","244/6369","486/18860",0.502057613168724,1.48670224279512,7.76204179119316,2.98841757251872e-14,2.70537173672159e-11,1.96381726194087e-11,"SEMA3F/HOXA11/PAX6/PAX7/ISL1/HOXC8/TLL1/DNAH5/CC2D2A/ALX4/DMRT3/HES2/FGF10/TP63/NLE1/GLI2/PAX2/PLXNA2/HOXA9/EDN1/MEF2C/LRP2/PALB2/WNT11/AURKA/TBX5/DLL3/TLL2/NRP1/MFNG/BMP7/CHRDL1/FOXF1/SFRP1/WNT2/HOXA5/COBL/MEOX2/LHX2/ENG/LHX3/FGF8/DKK1/WNT3/KAT2A/NKX3-2/DBX1/ZBTB16/FOLR1/MYF6/GLI1/BMP5/MDFI/TBX18/IRX4/CDX1/WNT5A/HES1/IFT57/EPB41L5/OTX1/WNT6/DLX2/VAX2/SATB2/HOXB8/HOXB1/MSX2/TBX2/DNAI1/EGR2/HOXC13/HOXC11/STIL/DAW1/SNAI1/C3/FOXA2/NKX2-2/BMP2/TCF15/SIX1/SMO/FEZF1/HOXD3/HOXD9/HOXD10/HOXD11/HOXD13/DLL4/ALDH1A2/DNAAF11/FOXJ1/GATA5/BARX1/MICAL2/GSC/FST/RAX/LRP4/APLNR/TBX3/EMX1/PCDH8/NKX2-1/TBR1/GATA4/LMX1B/SMAD6/SIX3/FGF2/SHROOM3/LEF1/PRICKLE1/ASCL1/FOXN4/ACVRL1/NKD1/CCDC40/DMRTA2/CELSR2/LEFTY2/OSR1/DLX1/HES6/SFRP2/DAAM2/TBC1D32/ZEB1/TBX6/ENKUR/MSGN1/ZIC1/FEZF2/DNAAF1/DISP1/WNT3A/WNT7A/ALX3/FUT6/ZIC3/DRC1/GRHL3/RNF207/SIM2/BTG2/PIERCE1/FOXH1/VANGL2/TDRD5/EN1/FZD5/IHH/TGFBR2/HEYL/SPRY1/PITX2/HAND2/HHIP/CITED2/TBXT/TBX20/SP8/HEY1/SOX17/OSR2/CDX2/OTX2/DCHS1/CFAP52/MESP1/GREM1/DNAAF3/GBX2/GDNF/AXIN2/AR/ODAD2/ZEB2/ITGAM/HOXD4/HOXD12/EMX2/IRX2/SIX2/HOXB9/DNAI2/FOXB1/CFAP53/HOXC5/RARG/DMRT2/C1QA/CIMAP3/DDIT3/CIROZ/HOXD8/FOXG1/BASP1/DSCAML1/ERBB4/HES7/TIGD5/ALX1/GSX2/HOXC9/HOXC10/GREM2/NEUROG1/SOX1/NKX2-5/RIPPLY3/TBX1/GDF3/ROBO2/NRG3/IFT140/HELT/WNT7B/MESP2/RELN/XRCC2/PGAP1/HOXC6/HES5/ODAD3/HOXC4/NRARP/ARC/RIPPLY2/SOX18/BMPR2/ODAD4/ADGRG1/CFAP45/NTF4/CRIPTO/FOXD1/HOXA10/PRKDC/DNAAF4/HOXB7/LHX1/HNF1B",244
"GO:0048732","gland development","229/6369","454/18860",0.504405286343612,1.49365421580162,7.6026923784636,9.91865229504377e-14,7.85681244921155e-11,5.70322506965017e-11,"CFLAR/PLXND1/FKBP4/HOXA11/PAX6/JARID2/ISL1/SNAI2/HGF/CPS1/OTC/CDH1/TNC/TG/ATP2C2/POU1F1/NTN1/PITX1/TGFBR3/FGF10/POLB/LIMS2/TP63/GLI2/NTN4/RAP1GAP/HOXA9/EDN1/PGR/CAD/ABCB1/WNT11/TFAP2C/AURKA/TGFB2/NRP1/SMARCB1/UPB1/SOX10/RHBDD3/SIX4/BMP7/TUBB1/LAMA1/FOXF1/SLC7A5/SALL1/SFRP1/LSR/HPN/PTN/CAV1/WNT2/HOXA5/HOXA13/COBL/EZH2/LHX3/LIPA/FGF8/NEURL1/WNT3/CDK5RAP3/NHERF1/VTN/FOXN1/AREG/CCKBR/MDK/GLI1/PERP/PRLR/NR3C1/WNT5A/HES1/CLCN2/IGFBP5/ID2/RAP1A/NR5A2/KDM5B/IRF6/APOA1/MYB/TCF21/GHRH/SLC46A2/ONECUT2/NKX2-3/MSX2/TNFSF11/SOCS2/TBX2/FLT3/PCK1/GCM2/SOX9/BMP2/THRA/STAT5A/SIX1/BCL11B/SMO/HOXD3/HOXD9/HOXD13/ALDH1A2/E2F8/RIPK3/CDO1/CDKN1C/RARA/PCNA/HMGCS2/SOX3/TBX3/CSN2/CGA/ELF5/SERPINE2/WNT10A/EDAR/IL6/NKX2-1/HLX/NR5A1/SULF1/STRA6/CYP19A1/PNPT1/SIX3/FGF2/LEF1/EGF/ASCL1/PDX1/BRCA2/FGF7/CYP1A1/GATA6/CCDC40/IGSF3/SRD5A1/EGFR/MSN/CRH/NFIB/CDKN2A/DRD2/HMGA2/EDNRA/CEBPG/DNAAF1/WNT3A/ZIC3/CCNB2/XDH/HOXB13/HK2/AIRE/FOXH1/WNT4/FRZB/TGFA/CLDN1/IHH/TGFBR2/PITX2/HAND2/ITGA2/CITED2/CA3/E2F7/RAG1/MESP1/IGF2/ACER1/FADD/AR/NR0B1/ONECUT1/HOXB9/CSN3/APLN/RXFP1/OTP/FOXB1/ID4/RARG/INSM1/JUN/ERBB4/FOXE1/GATA2/ALOX15B/SCRIB/SOX2/PLAG1/CACNB4/CAV3/CSF1R/EPHB3/NKX2-5/ZNF703/IQGAP3/TBX1/CSF1/POU3F2/KRT76/NRG3/WNT7B/SULF2/ADA/SLC22A4/TGM2/NOTCH4/DDR1/SERPINB5/CRIP1/LBH/FOXI3/NME1/UGT1A9/CRIPTO/UGT1A8/UGT1A10/UGT1A7/HOXA10/HNF1B",229
"GO:0045165","cell fate commitment","165/6369","304/18860",0.542763157894737,1.60724025088628,7.62169405155435,1.14939885730248e-13,7.85746264921223e-11,5.70369704692698e-11,"WNT16/HOXA11/PAX6/PAX7/ISL1/FOXP3/DMRT3/EYA2/PITX1/FGF10/TCF3/TBX21/GLI2/NOTCH3/PAX2/EDN1/MEF2C/WNT11/TFAP2C/TBX5/TBX15/TGFB2/IL12RB1/NRP1/JAG1/GATA1/SFRP1/ESRP1/WNT2/HOXA13/LHX3/FGF8/DKK1/WNT3/FOXN1/DBX1/SOX6/CD69/IL23A/MYF6/WNT5B/NR2E1/TBX18/WNT5A/HES1/WNT6/ID2/DLX2/EPAS1/HDAC1/ARHGEF2/ONECUT2/VSX2/NKX2-3/TNFSF18/TBX2/TBX4/TBX22/MYOG/RUNX2/SOX9/FOXA2/NKX2-2/BMP2/STAT5A/SIX1/BCL11B/KDR/SMO/HOXD10/DLL4/MYOD1/MNX1/GATA5/PRDM12/RARA/PPARG/KDM6B/GSC/IL6ST/TBX3/ELF5/WNT10A/IL6/NKX2-1/TBR1/GATA4/KLF4/GCM1/FGF2/ASCL1/FOXN4/DHH/NTRK3/GATA6/DMRTA2/BARHL2/MCL1/DLX1/SFRP2/NFIB/TENM4/TBX6/LATS2/EDNRA/POU4F1/FEZF2/WNT3A/WNT7A/FZD7/ISL2/IL6R/TAL1/WNT4/IHH/TLX3/TBXT/TBX20/SOX17/GBX1/NKX6-3/MESP1/TBX10/TNXB/ONECUT1/WNT10B/SIX2/GAP43/ATOH1/FOXG1/DSCAML1/OLIG3/ERBB4/GATA2/ATOH7/GSX2/HOXC10/SOX2/NEUROG1/SOX1/MTA1/NKX2-5/TBX1/OLIG1/GDF3/POU3F2/SOCS3/JAG2/MITF/WNT7B/HDAC2/SPN/HES5/ZNF521/OPA1/TOX/SOX18/NOTCH4/TRIM15/OLIG2/FOXI3/EBF2/PRKDC/EPOP/HNF1B",165
"GO:0006935","chemotaxis","237/6369","474/18860",0.5,1.48060920081645,7.56717842406555,1.2399341406363e-13,7.85746264921223e-11,5.70369704692698e-11,"SEMA3F/CX3CL1/CCL26/SEMA3G/ANOS1/SEMA3B/ALOX5/CD74/HGF/ADGRA2/DAPK2/ARHGEF5/F7/NTN1/PRKCQ/SPI1/FGF10/FGF4/PLD1/EDN1/CXCL2/SEMA5B/TGFB2/TREM2/NRP1/SERPIND1/PDGFB/CTSG/RIN3/CHGA/PLP2/FLT1/CCL17/ABCC1/NOVA2/PIK3CG/PTN/CCL24/HSPB1/RARRES2/C5/ENG/CXCL12/FGF8/WNT3/C1QBP/CCL7/CCL2/PF4V1/GAB1/BST1/MDK/BIN2/IL23A/TRPV4/NEDD9/RIPOR2/PERP/CCR6/SEMA5A/HBEGF/HRG/WNT5A/ARTN/APOA1/CSF3R/PGF/DUSP1/TNFSF18/TNFSF11/CCRL2/CCR2/PLAU/NCKAP1L/NR4A1/PREX1/TREM1/CXCL6/NUP85/IL1B/C3/TNFSF14/FLRT3/FFAR2/EDN2/KDR/DOCK4/ACKR4/LBP/ARHGEF16/MPP1/CCL25/LGALS3/SFTPD/VAV3/DOCK2/C5AR2/EPHA7/EDNRB/GPNMB/IL6/TBR1/ENPP2/CCL21/TUBB2B/THBS1/CYP19A1/CH25H/FGF2/LEF1/KIF21A/PIK3C2G/FGF7/NTRK3/CMTM2/ARRB2/TRPM2/CCN1/XCL1/S100A8/S100A7/ACKR3/ITGA9/AGTR1/SLIT2/CXCL14/LECT2/TPBG/PTPRO/POU4F2/FEZF2/ANGPT1/WNT3A/EPHB1/CXCL13/FGF18/FCER1G/ITGB2/JAML/IL6R/CXCL16/S100A9/TAFA4/PROK2/CXCR1/CXCL3/CXCL5/PPBP/PF4/CCR1/PRKCD/HMGB2/ITGA2/F2RL1/DEFA4/DEFB1/VEGFD/JAM3/CMTM5/GREM1/SEMA6B/CX3CR1/GDNF/CXCL10/P2RY12/PTAFR/GPR183/RAC3/SEMA3E/HOXB9/PLA2G1B/S1PR1/FPR2/FPR1/PLEKHG5/DEFB4A/C3AR1/SCG2/AZU1/IL16/CYSLTR1/SAA1/CCR9/CMKLR1/HRAS/ANO6/EGR3/ATOH7/CXCR2/SCRIB/CCL13/UNC5C/FES/CSF1R/GAS6/PTGDR2/PRKD1/SLIT3/CSF1/COLEC10/PDE4B/ROBO2/SEMA4B/NTF3/NRG3/WNT7B/GPR15LG/S100A14/CXCL17/S100A4/C5AR1/SPN/ELANE/DPP4/PARVA/PLXNB3/L1CAM/BMPR2/AGER/AIF1/TMSB4X/MIR149/GPSM3/LTB4R2/ITGA1/PLXNA4/MIF/ECSCR/MMP28/CCL23/CCL16/CCL4/CCL18/CCL15/CCL14/CCL3/CD300H",237
