"Sample","LibrarySize","Type"
"TCGA-43-3394-11A-01R-1758-07",151911141,"NT"
"TCGA-51-4079-11A-01R-1758-07",146279515,"NT"
"TCGA-51-4080-11A-01R-1758-07",135337694,"NT"
"TCGA-51-4081-11A-01R-1758-07",128525447,"NT"
"TCGA-34-5928-01A-11R-1820-07",104884759,"TP"
"TCGA-34-5236-01A-21R-1820-07",103444336,"TP"
"TCGA-34-5929-01A-11R-1820-07",101580962,"TP"
"TCGA-43-6771-01A-11R-1820-07",97559734,"TP"
"TCGA-22-4593-11A-01R-1820-07",97542645,"NT"
"TCGA-43-6647-11A-01R-1820-07",95830797,"NT"
"TCGA-46-6025-01A-11R-1820-07",95827122,"TP"
"TCGA-34-5239-01A-21R-1820-07",95621435,"TP"
"TCGA-56-7223-01A-11R-2045-07",94872117,"TP"
"TCGA-34-5231-01A-21R-1820-07",94829101,"TP"
"TCGA-43-6771-11A-01R-1820-07",93248808,"NT"
"TCGA-43-6770-01A-11R-1820-07",93144760,"TP"
"TCGA-39-5019-01A-01R-1820-07",92062269,"TP"
"TCGA-22-5483-01A-01R-1820-07",91927966,"TP"
"TCGA-56-6545-01A-11R-1820-07",91172657,"TP"
"TCGA-85-6560-01A-11R-1820-07",90518533,"TP"
"TCGA-70-6722-01A-11R-1820-07",90459437,"TP"
"TCGA-85-6175-01A-11R-1820-07",90382149,"TP"
"TCGA-22-4593-01A-21R-1820-07",90158165,"TP"
"TCGA-22-5482-11A-01R-1635-07",88555931,"NT"
"TCGA-22-5472-11A-11R-1635-07",87964421,"NT"
"TCGA-21-1081-01A-01R-0692-07",87872469,"TP"
"TCGA-39-5022-01A-21R-1820-07",87866886,"TP"
"TCGA-43-6143-01A-11R-1820-07",87716910,"TP"
"TCGA-39-5024-01A-21R-1820-07",87472169,"TP"
"TCGA-34-5232-01A-21R-1820-07",87331452,"TP"
"TCGA-70-6723-01A-11R-1820-07",86850939,"TP"
"TCGA-85-6561-01A-11R-1820-07",86178956,"TP"
"TCGA-33-6737-01A-11R-1820-07",85729042,"TP"
"TCGA-22-5478-11A-11R-1635-07",83193843,"NT"
"TCGA-21-1081-01A-01R-A96U-41",83105373,"TP"
"TCGA-46-6026-01A-11R-1820-07",82993325,"TP"
"TCGA-60-2709-11A-01R-1820-07",81520271,"NT"
"TCGA-63-A5MP-01A-11R-A26W-07",81267712,"TP"
"TCGA-90-7767-11A-01R-2125-07",80985038,"NT"
"TCGA-22-5477-01A-01R-1635-07",80708799,"TP"
"TCGA-56-7730-01A-11R-2125-07",80701122,"TP"
"TCGA-56-6546-01A-11R-1820-07",79977648,"TP"
"TCGA-22-5489-01A-01R-1635-07",79389972,"TP"
"TCGA-22-5480-01A-01R-1635-07",79181974,"TP"
"TCGA-90-6837-11A-01R-1949-07",79176102,"NT"
"TCGA-22-5474-01A-01R-1635-07",79092626,"TP"
"TCGA-39-5027-01A-21R-1820-07",79084678,"TP"
"TCGA-58-A46L-01A-11R-A24H-07",78911609,"TP"
"TCGA-34-5927-01A-11R-1820-07",78760880,"TP"
"TCGA-22-5489-11A-01R-1635-07",78546124,"NT"
"TCGA-43-5668-01A-01R-1635-07",77655361,"TP"
"TCGA-43-6143-11A-01R-1820-07",77400211,"NT"
"TCGA-22-4604-01A-01R-1201-07",76892148,"TP"
"TCGA-22-5478-01A-01R-1635-07",76826596,"TP"
"TCGA-77-8007-01A-11R-2187-07",76824587,"TP"
"TCGA-77-8008-01A-21R-2187-07",76002487,"TP"
"TCGA-22-5492-01A-01R-1635-07",75688028,"TP"
"TCGA-18-5595-01A-01R-1635-07",75641112,"TP"
"TCGA-85-7696-01A-11R-2125-07",75440268,"TP"
"TCGA-85-7697-01A-11R-2125-07",75193928,"TP"
