"Sample","AvgDistance","Type"
"TCGA-37-4129-01A-01R-1100-07",0.104320894101898,"TP"
"TCGA-37-4130-01A-01R-1100-07",0.0873864166119875,"TP"
"TCGA-21-5782-01A-01R-1635-07",0.0836016087837864,"TP"
"TCGA-22-1005-01A-01R-A96U-41",0.080672603416106,"TP"
"TCGA-18-4083-01A-01R-A96U-41",0.0801267632030458,"TP"
"TCGA-33-4589-01A-01R-1443-07",0.0780884236824073,"TP"
"TCGA-22-1017-01A-01R-A96U-41",0.076817465392664,"TP"
"TCGA-66-2754-01A-01R-0980-07",0.0757814477801227,"TP"
"TCGA-21-1082-01A-01R-A96U-41",0.0748835405877841,"TP"
"TCGA-37-5819-01A-01R-1635-07",0.0748201880843055,"TP"
"TCGA-56-8083-01A-11R-2247-07",0.0723153364342099,"TP"
"TCGA-85-8352-01A-31R-2326-07",0.0722504683100727,"TP"
"TCGA-37-4135-01A-01R-1100-07",0.0719445212859384,"TP"
"TCGA-90-A4ED-01A-31R-A24Z-07",0.0716316428096425,"TP"
"TCGA-85-A4PA-01A-11R-A24Z-07",0.0711542725989746,"TP"
"TCGA-63-A5MY-01A-11R-A26W-07",0.0710484295919053,"TP"
"TCGA-22-1016-01A-01R-A96U-41",0.070911494254656,"TP"
"TCGA-66-2756-01A-01R-0851-07",0.0706772680998723,"TP"
"TCGA-6A-AB49-01A-12R-A405-07",0.0701967964448011,"TP"
"TCGA-56-7223-01A-11R-2045-07",0.069749869469865,"TP"
"TCGA-22-1002-01A-01R-A96U-41",0.0695342291827327,"TP"
"TCGA-77-7335-11A-01R-2045-07",0.0691344512502446,"NT"
"TCGA-21-1070-01A-01R-A96U-41",0.068179478156448,"TP"
"TCGA-63-A5MW-01A-11R-A26W-07",0.0681409034786969,"TP"
"TCGA-O2-A5IB-01A-11R-A27Q-07",0.0671465159074291,"TP"
"TCGA-92-7340-11A-01R-2045-07",0.0670081638101671,"NT"
"TCGA-LA-A7SW-01A-11R-A405-07",0.0668899406702522,"TP"
"TCGA-39-5040-11A-01R-2125-07",0.0667205597863123,"NT"
"TCGA-22-5481-01A-31R-1949-07",0.066212645139787,"TP"
"TCGA-NC-A5HG-01A-11R-A26W-07",0.0661648836329718,"TP"
"TCGA-56-7222-11A-01R-2045-07",0.066152252203476,"NT"
"TCGA-56-8082-11A-01R-2247-07",0.0657842353609816,"NT"
"TCGA-77-7338-11A-01R-2045-07",0.0657692072151574,"NT"
"TCGA-NK-A5D1-01A-11R-A26W-07",0.0656966347200612,"TP"
"TCGA-56-8083-11A-01R-2247-07",0.0655562278608252,"NT"
"TCGA-NC-A5HH-01A-11R-A26W-07",0.0654121463020468,"TP"
"TCGA-37-4141-01A-02R-1100-07",0.0654063082830317,"TP"
"TCGA-43-7658-11A-01R-2125-07",0.0652034390687442,"NT"
"TCGA-37-A5EL-01A-11R-A26W-07",0.0650398522394916,"TP"
"TCGA-21-1081-01A-01R-A96U-41",0.0649610754288116,"TP"
"TCGA-85-8070-01A-11R-2247-07",0.0648059595214786,"TP"
"TCGA-39-5037-01A-01R-1443-07",0.0648001219600801,"TP"
"TCGA-56-7731-11A-01R-2125-07",0.0645393067626986,"NT"
"TCGA-85-A4QR-01A-11R-A24Z-07",0.0645133844020959,"TP"
"TCGA-21-1071-01A-01R-A96U-41",0.0644900883334803,"TP"
"TCGA-77-7142-11A-01R-2045-07",0.0643669051894271,"NT"
"TCGA-56-8309-11A-01R-2296-07",0.0643163679531092,"NT"
"TCGA-39-5040-01A-21R-2125-07",0.0640348888452277,"TP"
"TCGA-60-2709-11A-01R-1820-07",0.0636565163621568,"NT"
"TCGA-37-4132-01A-01R-1100-07",0.0636288667676905,"TP"
"TCGA-33-4587-01A-11R-2125-07",0.063604963182562,"TP"
"TCGA-56-8201-11A-01R-2247-07",0.0634024464025659,"NT"
